13,36,0,99
37,39,0,14
45,20,0,61
92,43,0,41
147,55,0,41
160,67,0,72
166,57,0,82
169,17,0,31
179,42,0,82
189,9,0,12
193,52,0,77
194,24,0,72
196,66,0,14
200,2,0,14
229,49,0,89
233,34,0,95
236,5,0,99
334,18,0,49
341,66,0,13
350,40,0,65
369,55,0,40
374,27,0,81
374,49,0,64
380,28,0,73
383,3,0,53
408,21,0,67
451,42,0,53
465,31,0,24
466,46,0,16
482,23,0,61
498,47,0,72
501,23,0,40
521,18,0,21
547,2,0,30
556,25,0,83
559,10,0,72
560,57,0,41
579,56,0,35
584,2,0,62
593,46,0,95
618,58,0,80
622,18,0,93
622,31,0,36
650,39,0,26
669,29,0,31
677,1,0,66
688,39,0,29
689,31,0,28
694,46,0,20
703,14,0,48
755,56,0,75
788,13,0,91
798,13,0,63
817,8,0,20
817,62,0,81
827,67,0,94
828,6,0,43
830,60,0,61
853,42,0,58
853,62,0,84
902,67,0,24
903,57,0,60
905,64,0,70
954,6,0,30
982,66,0,88
991,52,0,11
1011,29,0,33
1013,37,0,21
1048,6,0,22
1057,8,0,39
1059,23,0,80
1106,25,0,67
1145,41,0,66
1147,15,0,11
1150,4,0,25
1156,57,0,65
1209,8,0,79
1236,55,0,41
1247,50,0,94
1259,4,0,51
1278,12,0,35
1281,54,0,36
1293,3,0,49
1311,42,0,47
1324,66,0,42
1398,45,0,62
1449,62,0,65
1458,29,0,62
1461,38,0,14
1471,5,0,94
1474,53,0,52
1480,31,0,31
1501,49,0,64
1502,9,0,77
1532,27,0,55
1535,28,0,39
1550,25,0,33
1550,29,0,40
1551,55,0,76
1553,41,0,21
1553,56,0,91
1565,24,0,16
1574,37,0,40
1593,2,0,19
1603,50,0,86
1612,30,0,76
1622,50,0,66
1634,1,0,79
1654,22,0,10
1654,30,0,35
1700,52,0,14
1709,27,0,14
1721,55,0,56
1724,35,0,48
1734,17,0,11
1735,42,0,20
1744,13,0,25
1747,5,0,95
1757,25,0,22
1758,50,0,86
1768,63,0,21
1771,5,0,98
1773,52,0,48
1856,16,0,42
1869,61,0,47
1935,36,0,78
1936,4,0,26
1948,22,0,64
1948,49,0,16
1950,37,0,68
1961,22,0,47
1965,12,0,40
1990,65,0,43
1996,35,0,28
2012,21,0,91
2030,35,0,82
2031,66,0,31
2040,59,0,60
2041,50,0,72
2044,55,0,20
2050,18,0,80
2055,6,0,43
2070,12,0,86
2075,11,0,15
2077,27,0,62
2087,25,0,21
2091,39,0,16
2098,38,0,17
2134,66,0,50
2135,19,0,50
2141,61,0,48
2167,30,0,93
2171,1,0,82
2178,21,0,60
2193,52,0,50
2219,54,0,92
2230,51,0,68
2248,57,0,84
2265,12,0,70
2290,7,0,20
2296,13,0,26
2297,48,0,53
2297,62,0,21
2319,23,0,35
2324,44,0,45
2324,66,0,53
2333,66,0,37
2338,29,0,95
2338,55,0,16
2359,15,0,46
2405,20,0,39
2448,30,0,51
2469,25,0,87
2472,31,0,44
2473,39,0,86
2502,52,0,24
2525,9,0,44
2547,4,0,77
2549,42,0,16
2559,40,0,63
2566,25,0,77
2582,24,0,69
2612,41,0,59
2638,6,0,84
2664,37,0,79
2674,52,0,68
2675,51,0,73
2676,25,0,23
2684,66,0,74
2716,11,0,41
2730,45,0,38
2733,61,0,76
2769,31,0,28
2773,28,0,29
2781,20,0,27
2785,22,0,19
2808,5,0,85
2857,23,0,23
2864,1,0,91
2869,10,0,73
2902,30,0,75
2942,18,0,74
2953,18,0,26
2959,2,0,76
2960,29,0,55
2998,32,0,98
3006,38,0,64
3044,37,0,24
3052,65,0,39
3068,62,0,64
3122,47,0,74
3126,33,0,24
3138,44,0,40
3146,52,0,33
3159,51,0,37
3160,61,0,15
3171,48,0,75
3173,21,0,32
3178,27,0,68
3178,42,0,19
3197,9,0,74
3221,4,0,69
3231,16,0,40
3242,15,0,41
3244,42,0,94
3257,66,0,70
3271,28,0,94
3272,21,0,53
3281,39,0,10
3281,56,0,66
3295,50,0,56
3299,52,0,88
3299,61,0,96
3305,68,0,86
3310,8,0,16
3324,47,0,97
3346,37,0,81
3350,47,0,72
3366,11,0,61
3373,5,0,42
3388,45,0,17
3404,67,0,50
3437,30,0,69
3441,18,0,72
3453,6,0,32
3478,21,0,74
3512,58,0,74
3518,61,0,72
3529,67,0,62
3564,60,0,10
3573,63,0,19
3574,41,0,47
3593,3,0,87
3593,30,0,78
3629,36,0,84
3631,13,0,40
3631,34,0,92
3648,61,0,38
3657,53,0,90
3706,53,0,57
3719,35,0,67
3719,47,0,23
3726,10,0,48
3727,59,0,67
3749,5,0,76
3765,23,0,26
3767,8,0,99
3768,56,0,19
3841,56,0,79
3847,61,0,52
3880,27,0,70
3885,12,0,13
3894,9,0,59
3954,42,0,89
3968,11,0,39
3995,41,0,16
4008,19,0,71
4011,59,0,63
4018,34,0,37
4043,56,0,54
4069,38,0,63
4077,49,0,35
4078,7,0,90
4092,61,0,40
4099,51,0,18
4102,3,0,89
4103,33,0,36
4105,38,0,87
4107,68,0,24
4146,33,0,95
4147,53,0,41
4170,23,0,73
4194,50,0,81
4205,58,0,12
4209,42,0,36
4216,14,0,42
4239,30,0,56
4239,47,0,33
4243,26,0,30
4253,18,0,32
4312,7,0,38
4319,37,0,67
4323,34,0,19
4356,38,0,43
4384,63,0,45
4398,61,0,68
4402,5,0,33
4416,46,0,94
4433,18,0,87
4472,1,0,53
4490,56,0,32
4492,35,0,57
4505,40,0,82
4547,24,0,43
4551,37,0,47
4574,47,0,78
4575,44,0,73
4588,37,0,47
4590,11,0,61
4597,20,0,98
4607,60,0,96
4618,22,0,48
4631,33,0,79
4661,39,0,67
4695,23,0,75
4700,61,0,46
4726,66,0,14
4742,27,0,14
4748,68,0,59
4754,48,0,95
4798,34,0,93
4840,41,0,96
4841,34,0,53
4862,30,0,23
4881,10,0,40
4886,35,0,72
4924,17,0,47
4929,50,0,71
4958,15,0,32
4961,7,0,66
4989,7,0,48
4991,24,0,83
5037,40,0,11
5041,60,0,28
5053,15,0,37
5079,16,0,61
5085,27,0,58
5115,41,0,10
5120,25,0,65
5134,61,0,81
5143,61,0,89
5180,9,0,10
5208,1,0,40
5218,4,0,22
5238,11,0,35
5259,7,0,13
5263,54,0,57
5293,28,0,65
5293,37,0,47
5315,60,0,62
5335,54,0,88
5342,34,0,73
5345,35,0,62
5352,6,0,19
5366,17,0,89
5374,29,0,86
5389,2,0,36
5389,30,0,90
5390,10,0,27
5401,51,0,19
5406,16,0,78
5414,53,0,64
5442,39,0,67
5448,21,0,85
5458,33,0,15
